Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (NE07A-B), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 18dB, waiting time= 0.9s, sensitivity=20mV
2.3358	0.0	0.0	0.00328828	-0.00147248	0.00359823	-24.288
4.1261	1.0	6.6713e-12	0.00326444	-0.00143147	0.00356294	-23.688
5.6282	2.0	1.33426e-11	0.00334455	-0.00146294	0.00366022	-23.616
7.2695	3.0	2.00139e-11	0.00331308	-0.00144673	0.00361349	-23.592
8.9708	4.0	2.66852e-11	0.00334169	-0.00145531	0.00363542	-23.64
10.6622	5.0	3.33565e-11	0.00330545	-0.00144006	0.00360395	-23.442
12.3322	6.0	4.00278e-11	0.00329782	-0.00148011	0.00362016	-24.228
13.8342	7.0	4.6699099999999995e-11	0.0033045	-0.00146867	0.00361826	-23.988
15.4975	8.0	5.33704e-11	0.00330354	-0.00145818	0.00360586	-23.892
17.2221	9.0	6.004169999999999e-11	0.00329019	-0.00146485	0.00360204	-24.042
18.9039	10.0	6.6713e-11	0.00325681	-0.00144387	0.00354959	-24.03
20.8395	11.0	7.33843e-11	0.0032921	-0.00150395	0.00361826	-24.66
22.5258	12.0	8.00556e-11	0.00325777	-0.00145531	0.00356485	-24.192
24.2217	13.0	8.67269e-11	0.00329973	-0.00145627	0.0036049	-23.718
25.9869	14.0	9.339819999999999e-11	0.00325586	-0.00148202	0.00358011	-24.396
27.9223	15.0	1.0006949999999999e-10	0.0033045	-0.00148297	0.00362493	-24.06
29.5791	16.0	1.067408e-10	0.00326063	-0.00149918	0.0035906	-24.642
31.0695	17.0	1.134121e-10	0.00321867	-0.00147534	0.00354196	-24.63
32.7529	18.0	1.2008339999999999e-10	0.00324251	-0.00144482	0.00354768	-24.066
34.442	19.0	1.267547e-10	0.00323011	-0.00146676	0.0035391	-24.618
36.1077	20.0	1.33426e-10	0.00323488	-0.00146294	0.00355531	-24.294
37.7884	21.0	1.400973e-10	0.00321485	-0.00144769	0.00352289	-24.288
39.4692	22.0	1.467686e-10	0.00316812	-0.00138665	0.00346567	-23.682
40.9395	23.0	1.5343989999999998e-10	0.00321771	-0.00144292	0.0035267	-24.168
42.6593	24.0	1.601112e-10	0.00321771	-0.00143815	0.00353147	-23.964
44.3234	25.0	1.667825e-10	0.00318719	-0.00141145	0.00348569	-23.934
46.0227	26.0	1.734538e-10	0.00319196	-0.00143052	0.00349428	-24.096
47.7144	27.0	1.801251e-10	0.00315668	-0.00142098	0.00345899	-24.234
49.4629	28.0	1.8679639999999998e-10	0.00316621	-0.00149251	0.00350286	-25.29
51.159	29.0	1.934677e-10	0.00306417	-0.00141526	0.00339891	-24.888
52.8311	30.0	2.0013899999999998e-10	0.00307848	-0.00142003	0.00339796	-24.75
54.4965	31.0	2.068103e-10	0.00315	-0.00142194	0.00345613	-24.282
56.1739	32.0	2.134816e-10	0.00310899	-0.00141907	0.00341226	-24.486
57.8672	33.0	2.2015289999999998e-10	0.00315191	-0.00146104	0.00347902	-24.768
59.5858	34.0	2.268242e-10	0.00316907	-0.0014391	0.00346376	-24.666
61.5214	35.0	2.334955e-10	0.00284673	-0.00130559	0.00280096	-25.47
63.1997	36.0	2.4016679999999997e-10	-3.62399e-05	-1.81199e-05	4.19619e-05	-166.188
64.9221	37.0	2.468381e-10	1.90736e-06	-6.67575e-06	6.67575e-06	-142.122
66.6547	38.0	2.535094e-10	-1.62126e-05	-3.43325e-05	3.33788e-05	-114.342
68.5651	39.0	2.601807e-10	7.62945e-06	2.3842e-05	2.86103e-05	43.212
70.2938	40.0	2.66852e-10	-2.0981e-05	-3.81472e-05	4.19619e-05	-113.682
72.2354	41.0	2.7352329999999997e-10	-1.33515e-05	3.81473e-06	5.72208e-06	149.034
73.9699	42.0	2.801946e-10	-9.5368e-06	7.62945e-06	1.04905e-05	120.966
75.9291	43.0	2.868659e-10	-2.3842e-05	8.58313e-06	2.47956e-05	167.124
77.5928	44.0	2.935372e-10	3.24252e-05	-1.81199e-05	3.52862e-05	-41.286
79.5386	45.0	3.002085e-10	1.52589e-05	-9.53682e-07	2.6703e-05	-2.292
81.2183	46.0	3.0687979999999997e-10	-1.62126e-05	1.52589e-05	1.43052e-05	93.816
82.9128	47.0	3.135511e-10	-4.7684e-06	-1.52589e-05	1.04905e-05	-102.096
84.658	48.0	3.202224e-10	2.6703e-05	-4.00546e-05	4.48229e-05	-63.822
86.3831	49.0	3.268937e-10	-1.33515e-05	-2.47956e-05	2.3842e-05	-95.046
88.1143	50.0	3.33565e-10	1.52589e-05	1.04905e-05	2.19346e-05	23.202
90.0741	51.0	3.4023629999999996e-10	-1.90736e-05	-1.62126e-05	1.33515e-05	-122.004
91.7574	52.0	3.469076e-10	-5.72208e-06	-2.57493e-05	2.3842e-05	-59.304
93.4385	53.0	3.535789e-10	1.23978e-05	-9.5368e-06	1.52589e-05	-48.18
95.1677	54.0	3.602502e-10	-7.62945e-06	2.3842e-05	2.86103e-05	117.12
96.7028	55.0	3.6692149999999997e-10	-2.00273e-05	-1.33515e-05	1.90736e-05	-145.494
98.3951	56.0	3.7359279999999996e-10	1.71663e-05	2.3842e-05	2.3842e-05	64.176
99.8776	57.0	3.802641e-10	2.86104e-06	1.71663e-05	1.71663e-05	41.424
101.3526	58.0	3.869354e-10	1.90736e-05	-6.67575e-06	2.0981e-05	17.88
