Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (NE03A-B), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 18dB, waiting time= 0.9s, sensitivity=20mV
1.4437	8.6	5.737317999999999e-11	6.2943e-05	-1.14442e-05	6.77113e-05	-12.06
2.9786	8.604	5.739986519999999e-11	4.76839e-05	-1.90736e-06	4.57766e-05	2.562
4.4325	8.608	5.74265504e-11	7.62944e-05	-3.43325e-05	8.10628e-05	-24.876
5.9046	8.612	5.74532356e-11	3.33788e-05	-1.23978e-05	3.05178e-05	-26.562
7.3918	8.616	5.74799208e-11	7.43871e-05	-1.33515e-05	7.24797e-05	-12.024
8.8636	8.62	5.750660599999999e-11	4.19619e-05	-2.76567e-05	4.86376e-05	-28.98
10.3444	8.624	5.75332912e-11	8.48775e-05	-3.33788e-05	8.86922e-05	-23.532
12.0616	8.628	5.75599764e-11	7.72481e-05	2.57493e-05	8.96459e-05	17.13
13.5329	8.632	5.75866616e-11	8.77385e-05	9.5368e-06	8.77385e-05	6.39
15.0134	8.636	5.761334679999999e-11	6.38966e-05	9.53682e-07	6.5804e-05	6.276
16.5052	8.64	5.7640032e-11	9.25069e-05	2.86104e-06	8.48775e-05	-2.838
18.0093	8.644	5.76667172e-11	3.33788e-05	8.58313e-06	2.86103e-05	1.332
19.7131	8.648	5.7693402399999996e-11	4.48229e-05	1.62126e-05	4.67303e-05	24.444
21.2007	8.652	5.7720087599999994e-11	7.82018e-05	8.58313e-06	8.39238e-05	2.184
22.677	8.656	5.77467728e-11	4.10082e-05	-5.72208e-06	4.19619e-05	-4.332
24.4226	8.66	5.7773458e-11	5.9128e-05	3.81473e-06	6.10356e-05	8.04
25.9232	8.664	5.7800143199999996e-11	5.0545e-05	8.58313e-06	4.67303e-05	8.364
27.4084	8.668	5.7826828399999994e-11	8.10628e-05	-2.28883e-05	9.25069e-05	-17.4
28.8834	8.672	5.78535136e-11	2.57493e-05	5.24523e-05	6.19893e-05	64.512
30.356	8.676	5.7880198799999997e-11	7.24797e-05	-2.47956e-05	7.53407e-05	-16.698
32.0756	8.68	5.7906883999999995e-11	7.05724e-05	-1.62126e-05	7.72481e-05	-7.494
33.5701	8.684	5.793356919999999e-11	5.9128e-05	2.28883e-05	6.48503e-05	21.252
35.0412	8.688	5.7960254400000004e-11	4.86376e-05	-2.28883e-05	4.86376e-05	-16.392
36.5401	8.692	5.7986939599999996e-11	4.86376e-05	1.04905e-05	5.24523e-05	13.2
38.0149	8.696	5.8013624799999994e-11	1.90736e-06	-3.62399e-05	3.52862e-05	-75.144
39.4802	8.7	5.804030999999999e-11	3.91009e-05	2.3842e-05	4.86376e-05	38.292
40.9744	8.704	5.8066995200000003e-11	4.19619e-05	2.0981e-05	4.38693e-05	29.748
42.7168	8.708	5.8093680399999995e-11	5.72207e-05	-9.5368e-06	5.0545e-05	-29.448
44.187	8.712	5.8120365599999993e-11	1.52589e-05	-1.04905e-05	1.71663e-05	-28.608
45.6591	8.716	5.814705079999999e-11	6.5804e-05	7.62945e-06	6.10356e-05	0.0
47.1474	8.72	5.8173736e-11	5.72207e-05	2.57493e-05	6.8665e-05	21.192
48.643	8.724	5.82004212e-11	7.43871e-05	-8.58313e-06	6.77113e-05	-11.976
50.3707	8.728	5.82271064e-11	6.19893e-05	9.5368e-06	5.81744e-05	8.226
51.8488	8.732	5.82537916e-11	3.43325e-05	-2.47956e-05	5.0545e-05	-29.394
53.3174	8.736	5.82804768e-11	3.62399e-05	1.04905e-05	3.14715e-05	35.394
55.0621	8.74	5.8307162e-11	7.24797e-05	1.52589e-05	6.5804e-05	13.59
56.5771	8.744	5.833384719999999e-11	5.81744e-05	-1.62126e-05	6.00817e-05	-20.412
58.0453	8.748	5.836053239999999e-11	5.6267e-05	1.62126e-05	5.14986e-05	16.926
59.5406	8.752	5.83872176e-11	5.6267e-05	-3.33788e-05	7.05724e-05	-25.626
60.9882	8.756	5.84139028e-11	4.95913e-05	0.0	5.14986e-05	3.624
62.7364	8.76	5.8440588e-11	3.52862e-05	9.5368e-06	4.67303e-05	11.46
64.2212	8.764	5.84672732e-11	1.04905e-05	3.62399e-05	3.91009e-05	78.342
