X 	 Y 	 R 	 theta 
#With Preamplifier,Turning the emitter ZnTe, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.1s 18dB, waiting time= 1s, sensitivity=20mV, position 4.9mm
-2.00273e-05	1.52589e-05	2.28883e-05	124.158
-1.71663e-05	-2.9564e-05	3.33788e-05	-103.242
4.38693e-05	1.23978e-05	3.91009e-05	18.756
-5.72208e-06	0.0	2.86104e-06	-71.568
2.57493e-05	-1.43052e-05	2.86103e-05	-36.324
-1.81199e-05	1.23978e-05	2.47956e-05	145.122
2.00273e-05	9.5368e-06	1.90736e-05	24.624
5.72208e-06	-1.04905e-05	9.5368e-06	-48.012
2.57493e-05	-2.0981e-05	3.52862e-05	-54.462
9.53682e-07	4.7684e-06	1.90736e-06	123.69
-1.43052e-05	1.71663e-05	2.3842e-05	145.41
3.91009e-05	3.81473e-06	3.91009e-05	4.014
1.62126e-05	3.05178e-05	3.52862e-05	53.13
-1.43052e-05	-3.43325e-05	4.19619e-05	-118.476
8.58313e-06	-5.72208e-06	2.3842e-05	-7.944
1.23978e-05	-3.52862e-05	3.52862e-05	-66.498
