X 	 Y 	 R 	 theta 
#With Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=20mV, position 11.0085mm
-0.00375654	-0.00347234	0.00516227	-137.49
-0.00432208	-0.00395015	0.0058575	-137.586
-0.00434497	-0.00400165	0.00590613	-137.388
-0.00437358	-0.00395778	0.00589946	-137.868
-0.00441173	-0.00407508	0.00600436	-137.292
-0.00437358	-0.00407603	0.00597957	-137.016
-0.00438789	-0.00403312	0.00595763	-137.406
-0.00436404	-0.00402263	0.00593188	-137.322
-0.00434878	-0.0040026	0.005909	-137.376
-0.0043402	-0.00409129	0.00596622	-136.716
-0.00441459	-0.00402358	0.00597003	-137.64
-0.00444129	-0.00400928	0.00598338	-137.916
-0.00438502	-0.00400165	0.00593475	-137.598
-0.00438502	-0.00404647	0.00596812	-137.304
