Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 12dB, waiting time= 2.1s, sensitivity=1uV
3.0616	8.0	5.33704e-11	-4.15721e-07	2.95347e-07	4.42496e-07	152.112
5.781	8.1	5.403753e-11	-2.8359e-07	1.09897e-07	2.75732e-07	172.554
8.4521	8.2	5.470465999999999e-11	-1.07307e-06	-7.60779e-08	1.09216e-06	-176.094
11.1554	8.3	5.5371790000000004e-11	-8.83072e-07	1.25729e-07	8.10138e-07	170.196
13.8265	8.4	5.603892e-11	1.26137e-07	-1.32773e-07	2.02622e-07	-63.45
16.5135	8.5	5.670605e-11	3.89236e-07	6.00765e-07	6.89764e-07	53.172
19.2003	8.6	5.737317999999999e-11	1.67639e-08	-4.88365e-08	2.11295e-08	-173.334
21.8882	8.7	5.804030999999999e-11	3.67293e-08	-5.90695e-07	6.48961e-07	-84.258
24.5756	8.8	5.870744e-11	-1.23052e-07	-2.82716e-07	2.68339e-07	-83.244
27.262	8.9	5.937457e-11	3.0501e-07	-4.84872e-08	2.4785e-07	-2.67
30.2059	9.0	6.004169999999999e-11	-1.97092e-07	-5.57575e-07	5.83186e-07	-117.954
32.877	9.1	6.070883e-11	3.43834e-07	1.1269e-07	3.98026e-07	22.272
35.5474	9.2	6.137595999999999e-11	-4.06e-07	2.49247e-07	5.0868e-07	143.784
38.235	9.3	6.204309e-11	-2.4558e-07	3.11064e-07	4.41973e-07	130.992
40.9548	9.4	6.271022e-11	-9.40581e-07	1.62982e-09	9.00884e-07	-176.952
43.6742	9.5	6.337735e-11	-2.80097e-07	6.67646e-08	4.10191e-07	169.134
46.6173	9.6	6.404448e-11	-3.17059e-07	-3.48491e-07	3.72298e-07	-131.862
49.2881	9.7	6.471160999999999e-11	-1.06055e-07	1.79281e-07	1.92552e-07	93.318
51.9754	9.8	6.537874000000001e-11	1.63448e-07	1.34402e-07	1.32947e-07	32.46
54.6468	9.9	6.604587e-11	-4.11297e-07	-1.93367e-07	3.10656e-07	-161.04
57.5894	10.0	6.6713e-11	-9.66834e-08	4.61763e-07	5.66073e-07	93.282
60.2773	10.1	6.738012999999999e-11	4.3947e-08	8.45762e-08	1.38128e-07	179.766
62.9646	10.2	6.804726e-11	3.69621e-08	5.88482e-08	7.53212e-08	28.818
65.6519	10.3	6.871439e-11	5.16304e-08	2.94591e-07	2.93951e-07	82.704
68.3385	10.4	6.938152e-11	-3.66943e-07	-8.60314e-08	4.03614e-07	-169.188
71.0264	10.5	7.004865e-11	-6.03618e-08	-1.80969e-07	1.23052e-07	-115.632
73.9694	10.6	7.071578e-11	-1.21189e-07	-3.17292e-07	3.07047e-07	-118.332
76.6569	10.7	7.138290999999999e-11	-5.13395e-07	-1.09222e-06	1.09216e-06	-105.564
79.3281	10.8	7.205004e-11	-1.90398e-07	-4.84408e-07	4.64208e-07	-98.052
81.9991	10.9	7.271717e-11	-2.17581e-07	-3.24219e-08	1.94938e-07	-148.77
84.9424	11.0	7.33843e-11	6.21778e-07	1.09216e-06	1.09216e-06	67.416
87.6288	11.1	7.405142999999999e-11	-1.09222e-06	-1.09222e-06	1.09216e-06	-128.286
90.3008	11.2	7.471856e-11	-5.50647e-08	4.79577e-07	4.24976e-07	85.62
92.9719	11.3	7.538569e-11	2.03146e-08	1.74507e-07	1.9587e-07	83.736
95.6586	11.4	7.605282e-11	-2.21656e-07	-5.61184e-07	5.60834e-07	-113.046
98.3463	11.5	7.671994999999999e-11	5.98611e-07	-9.51118e-08	6.17762e-07	-10.5
