Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=20uV
3.6678	8.0	5.33704e-11	2.51458e-08	-1.55532e-07	1.58326e-07	-79.206
7.2499	8.1	5.403753e-11	-3.66012e-07	-3.99539e-07	5.42033e-07	-133.956
10.5288	8.2	5.470465999999999e-11	-1.03377e-07	4.47037e-08	1.56463e-07	151.818
13.8239	8.3	5.5371790000000004e-11	-4.89879e-07	7.82316e-08	5.01987e-07	170.118
17.1036	8.4	5.603892e-11	-2.36557e-07	1.86266e-09	2.16999e-07	174.108
20.6537	8.5	5.670605e-11	6.07226e-07	5.65316e-07	8.41919e-07	43.188
23.9338	8.6	5.737317999999999e-11	-2.42146e-07	-1.35043e-07	2.61703e-07	-148.266
27.2119	8.7	5.804030999999999e-11	-5.02916e-08	-1.60188e-07	1.62051e-07	-102.528
30.492	8.8	5.870744e-11	5.30856e-08	-1.77884e-07	1.79746e-07	-72.114
33.7862	8.9	5.937457e-11	-3.17583e-07	-1.50875e-07	3.45522e-07	-154.338
37.0656	9.0	6.004169999999999e-11	-6.61244e-08	2.04892e-07	2.16999e-07	113.712
40.6162	9.1	6.070883e-11	-8.28882e-08	-3.12926e-07	3.25965e-07	-98.274
43.8949	9.2	6.137595999999999e-11	-6.86388e-07	-2.73811e-07	7.48787e-07	-157.776
47.1901	9.3	6.204309e-11	-6.05364e-08	1.69502e-07	1.73227e-07	105.726
50.485	9.4	6.271022e-11	-8.94074e-08	4.84291e-07	4.88948e-07	100.002
54.0212	9.5	6.337735e-11	1.16416e-07	1.4715e-07	1.6857e-07	48.672
57.3152	9.6	6.404448e-11	-4.8429e-08	-8.19568e-08	1.07103e-07	-145.152
60.5939	9.7	6.471160999999999e-11	-6.23991e-08	-6.5193e-08	7.45063e-08	-117.3
63.8739	9.8	6.537874000000001e-11	-3.25965e-07	8.66135e-08	3.21308e-07	171.264
67.1524	9.9	6.604587e-11	1.62982e-07	-1.45287e-07	2.34694e-07	-40.362
70.4484	10.0	6.6713e-11	-2.84055e-07	1.31317e-07	2.96162e-07	149.982
73.9987	10.1	6.738012999999999e-11	8.00942e-08	-7.35749e-08	1.09897e-07	-38.772
77.294	10.2	6.804726e-11	1.42493e-07	-9.12701e-08	1.49944e-07	-28.608
80.5565	10.3	6.871439e-11	-1.07103e-07	9.59267e-08	1.35043e-07	126.93
83.8365	10.4	6.938152e-11	-2.23518e-07	-1.69502e-07	2.81261e-07	-140.334
87.3874	10.5	7.004865e-11	1.89991e-07	3.73462e-07	4.16303e-07	65.412
90.682	10.6	7.071578e-11	-7.581e-07	-3.07339e-08	7.42268e-07	-176.586
93.9615	10.7	7.138290999999999e-11	-3.05476e-07	3.63218e-08	3.10132e-07	171.66
97.2552	10.8	7.205004e-11	-4.94536e-07	-1.30386e-08	4.91742e-07	-175.656
100.534	10.9	7.271717e-11	-2.16068e-07	-2.23518e-07	3.18514e-07	-135.084
103.8306	11.0	7.33843e-11	1.23867e-07	1.95579e-08	1.06171e-07	13.302
107.397	11.1	7.405142999999999e-11	1.71364e-07	-7.26436e-08	2.04892e-07	-23.016
110.6746	11.2	7.471856e-11	-3.99539e-07	4.82429e-07	6.47273e-07	131.478
113.9717	11.3	7.538569e-11	4.8429e-08	-1.95579e-07	2.07686e-07	-82.242
