Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier, ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=20mV
3.4843	10.1	6.738012999999999e-11	4.86376e-05	-9.53682e-07	4.76839e-05	-1.59
6.7942	10.2	6.804726e-11	2.19346e-05	1.52589e-05	2.57493e-05	32.472
10.0727	10.3	6.871439e-11	3.91009e-05	1.14442e-05	4.19619e-05	16.188
13.3678	10.4	6.938152e-11	5.72208e-06	1.14442e-05	1.23978e-05	67.62
16.9022	10.5	7.004865e-11	4.57766e-05	2.00273e-05	5.0545e-05	23.586
20.1806	10.6	7.071578e-11	3.05178e-05	7.62945e-06	3.14715e-05	15.78
23.4591	10.7	7.138290999999999e-11	2.6703e-05	1.90736e-06	2.86103e-05	7.596
26.7368	10.8	7.205004e-11	4.48229e-05	1.33515e-05	4.57766e-05	19.212
30.0148	10.9	7.271717e-11	3.14715e-05	-1.23978e-05	3.43325e-05	-17.022
33.3097	11.0	7.33843e-11	2.57493e-05	-4.7684e-06	2.57493e-05	-12.204
36.8762	11.1	7.405142999999999e-11	8.58313e-06	1.52589e-05	1.71663e-05	60.522
40.1543	11.2	7.471856e-11	4.19619e-05	1.14442e-05	4.38693e-05	13.83
43.4334	11.3	7.538569e-11	4.00546e-05	1.52589e-05	4.19619e-05	19.29
46.7275	11.4	7.605282e-11	2.57493e-05	9.53682e-07	2.6703e-05	1.332
50.2622	11.5	7.671994999999999e-11	3.81473e-06	5.72208e-06	6.67575e-06	59.034
53.5405	11.6	7.738708e-11	5.72208e-06	-2.0981e-05	2.0981e-05	-73.812
56.8344	11.7	7.805420999999999e-11	5.14986e-05	1.90736e-06	5.0545e-05	3.762
60.1125	11.8	7.872134e-11	3.52862e-05	1.23978e-05	3.62399e-05	21.414
63.408	11.9	7.938846999999999e-11	1.62126e-05	0.0	1.52589e-05	0.0
66.6861	12.0	8.00556e-11	9.5368e-06	1.33515e-05	1.62126e-05	58.242
70.2362	12.1	8.072272999999999e-11	1.71663e-05	1.23978e-05	2.0981e-05	38.658
73.531	12.2	8.138985999999999e-11	2.19346e-05	1.14442e-05	2.3842e-05	27.978
76.8249	12.3	8.205699e-11	3.71935e-05	4.7684e-06	3.81472e-05	8.82
80.1037	12.4	8.272412e-11	2.9564e-05	1.04905e-05	3.05178e-05	18.822
83.6539	12.5	8.339125e-11	4.57766e-05	3.81473e-06	4.38693e-05	5.196
86.9476	12.6	8.405837999999999e-11	2.6703e-05	2.00273e-05	3.52862e-05	34.284
90.2417	12.7	8.472551e-11	2.0981e-05	1.52589e-05	2.47956e-05	35.364
93.536	12.8	8.539264e-11	2.00273e-05	2.3842e-05	3.24252e-05	47.49
96.8149	12.9	8.605977e-11	2.57493e-05	1.71663e-05	3.05178e-05	30.966
100.0942	13.0	8.67269e-11	2.76567e-05	-9.53682e-07	2.86103e-05	-1.332
103.6446	13.1	8.739403e-11	1.52589e-05	1.43052e-05	1.90736e-05	50.712
106.9382	13.2	8.806115999999999e-11	2.6703e-05	-9.53682e-07	2.6703e-05	1.398
110.2335	13.3	8.872829e-11	3.24252e-05	2.00273e-05	3.81472e-05	32.856
113.511	13.4	8.939542e-11	3.52862e-05	-2.57493e-05	4.57766e-05	-33.918
116.7902	13.5	9.006255e-11	4.57766e-05	2.86104e-06	4.67303e-05	4.764
120.0686	13.6	9.072967999999999e-11	2.76567e-05	9.5368e-06	3.05178e-05	19.23
123.3614	13.7	9.139681e-11	4.48229e-05	-2.86104e-06	4.57766e-05	-3.27
126.6405	13.8	9.206394e-11	2.47956e-05	6.67575e-06	2.57493e-05	12.678
129.9185	13.9	9.273107e-11	3.71935e-05	3.81473e-06	3.71935e-05	6.228
133.2134	14.0	9.339819999999999e-11	2.76567e-05	-3.81473e-06	2.57493e-05	-7.308
136.7475	14.1	9.406533e-11	5.6267e-05	2.6703e-05	6.19893e-05	26.562
