X 	 Y 	 R 	 theta 
#With Preamplifier,Turning the emitter ZnTe, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.1s 18dB, waiting time= 1s, sensitivity=20mV, position 3mm
-3.43325e-05	1.90736e-06	3.52862e-05	172.476
-6.67577e-05	1.04905e-05	6.77113e-05	169.794
-3.05178e-05	-4.29156e-05	4.95913e-05	-124.992
-6.2943e-05	9.5368e-06	5.9128e-05	-177.456
-4.00546e-05	-1.23978e-05	3.81472e-05	-161.568
-7.53407e-05	1.62126e-05	7.24797e-05	170.802
-9.25069e-05	3.91009e-05	9.72752e-05	152.916
-4.29156e-05	-1.23978e-05	4.19619e-05	-158.37
-7.91554e-05	5.72208e-06	7.53407e-05	177.444
-6.96187e-05	4.48229e-05	8.10628e-05	149.286
-4.10082e-05	3.91009e-05	6.19893e-05	142.434
2.86104e-06	4.7684e-06	1.43052e-05	74.292
-3.05178e-05	-2.86103e-05	4.57766e-05	-133.422
-8.96459e-05	-4.7684e-06	7.91554e-05	-176.604
-2.00273e-05	-7.62945e-06	1.62126e-05	-171.57
-7.1526e-05	2.19346e-05	8.20165e-05	160.71
-9.34605e-05	3.62399e-05	0.00010109	159.534
-6.2943e-05	3.33788e-05	7.1526e-05	153.438
-4.48229e-05	1.04905e-05	3.71935e-05	169.692
-3.81472e-05	3.24252e-05	5.24523e-05	156.528
-6.2943e-05	-1.14442e-05	5.9128e-05	-160.95
-5.14986e-05	-3.81473e-06	4.95913e-05	-174.594
-3.91009e-05	3.81473e-06	4.10082e-05	177.276
-2.86103e-05	1.71663e-05	3.14715e-05	152.88
-5.43597e-05	1.71663e-05	6.10356e-05	154.212
-4.67303e-05	-1.90736e-05	5.0545e-05	-152.766
-3.62399e-05	2.86103e-05	4.67303e-05	142.338
-4.57766e-05	-1.62126e-05	4.76839e-05	-156.594
-6.2943e-05	2.6703e-05	7.05724e-05	155.334
-2.3842e-05	7.62945e-06	3.43325e-05	155.64
-4.29156e-05	2.0981e-05	4.95913e-05	157.38
-5.14986e-05	1.04905e-05	4.38693e-05	164.178
-6.00817e-05	1.23978e-05	5.9128e-05	169.068
-4.95913e-05	3.81472e-05	6.19893e-05	139.398
-5.6267e-05	1.71663e-05	5.9128e-05	161.568
-8.29701e-05	2.3842e-05	8.10628e-05	164.478
-8.01091e-05	-1.81199e-05	8.39238e-05	-169.044
-5.72207e-05	1.52589e-05	5.9128e-05	161.364
-2.9564e-05	1.43052e-05	2.9564e-05	155.226
-8.67848e-05	5.72208e-06	8.96459e-05	175.476
-2.28883e-05	-2.76567e-05	3.24252e-05	-127.116
-7.43871e-05	-7.62945e-06	7.43871e-05	-172.092
-5.3406e-05	-1.62126e-05	5.3406e-05	-163.572
-7.34334e-05	2.3842e-05	7.24797e-05	156.936
-8.01091e-05	-2.00273e-05	7.24797e-05	-164.598
-5.81744e-05	-6.67575e-06	5.72207e-05	-169.992
-8.20165e-05	-2.19346e-05	8.86922e-05	-163.938
-6.5804e-05	7.62945e-06	6.77113e-05	178.932
-6.77113e-05	1.52589e-05	6.2943e-05	167.946
-6.2943e-05	-3.81473e-06	6.2943e-05	-174.588
-0.000100136	-9.53682e-07	0.000103951	-177.102
-2.9564e-05	1.81199e-05	2.76567e-05	126.87
-4.76839e-05	4.86376e-05	6.96187e-05	137.688
