Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,searching for the GaP signal, ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 24dB, waiting time= 1.0s, sensitivity=20mV
2.1882	7.9	5.270327e-11	-2.57493e-05	-3.33788e-05	3.91009e-05	-127.878
3.8988	8.3	5.5371790000000004e-11	1.90736e-06	1.71663e-05	1.81199e-05	103.134
5.4437	8.7	5.804030999999999e-11	0.000234605	7.43871e-05	0.00023842	18.03
7.014	9.1	6.070883e-11	-1.62126e-05	-1.90736e-06	1.14442e-05	-130.236
8.8228	9.5	6.337735e-11	-6.67575e-06	-1.71663e-05	1.71663e-05	-133.452
10.6244	9.9	6.604587e-11	-1.71663e-05	0.0	1.33515e-05	-165.258
12.4002	10.3	6.871439e-11	8.58313e-06	-4.7684e-06	5.72208e-06	-84.288
13.9656	10.7	7.138290999999999e-11	3.81473e-06	1.14442e-05	1.52589e-05	45.0
15.7968	11.1	7.405142999999999e-11	-4.7684e-06	1.90736e-06	0.0	-38.658
17.6155	11.5	7.671994999999999e-11	-2.0981e-05	-4.7684e-06	1.43052e-05	-173.988
19.1969	11.9	7.938846999999999e-11	2.00273e-05	-1.04905e-05	1.52589e-05	-45.0
