Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,searching for the GaP signal, ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 24dB, waiting time= 1.0s, sensitivity=20mV
1.9356	7.7	5.1369009999999997e-11	2.19346e-05	3.52862e-05	4.29156e-05	48.732
3.824	8.1	5.403753e-11	8.58313e-06	1.04905e-05	1.90736e-05	37.236
5.3939	8.5	5.670605e-11	6.67575e-06	2.57493e-05	2.86103e-05	90.0
6.9407	8.9	5.937457e-11	-5.3406e-05	-2.3842e-05	6.19893e-05	-160.626
8.5135	9.3	6.204309e-11	-1.04905e-05	1.33515e-05	1.52589e-05	124.38
10.0766	9.7	6.471160999999999e-11	-1.23978e-05	-1.43052e-05	1.71663e-05	-138.012
11.6441	10.1	6.738012999999999e-11	-2.86104e-06	-6.67575e-06	5.72208e-06	-116.562
13.2169	10.5	7.004865e-11	4.10082e-05	-1.33515e-05	3.81472e-05	-12.996
14.7997	10.9	7.271717e-11	-1.33515e-05	-9.5368e-06	1.14442e-05	-138.816
16.3475	11.3	7.538569e-11	1.90736e-05	-1.14442e-05	2.0981e-05	-32.622
17.8936	11.7	7.805420999999999e-11	4.7684e-06	-2.3842e-05	2.28883e-05	-76.374
