Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,searching for the GaP signal, ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 24dB, waiting time= 1.0s, sensitivity=20mV
1.9226	7.9	5.270327e-11	1.81199e-05	-3.81473e-06	1.81199e-05	-23.748
3.8	8.3	5.5371790000000004e-11	2.3842e-05	-2.76567e-05	2.9564e-05	-52.854
5.3491	8.7	5.804030999999999e-11	1.90736e-06	-2.6703e-05	2.76567e-05	-107.196
7.1749	9.1005	6.071216565e-11	3.81473e-06	-1.43052e-05	1.52589e-05	-64.536
8.7367	9.5005	6.338068565e-11	-2.86103e-05	1.04905e-05	3.91009e-05	153.438
10.3064	9.9005	6.604920564999999e-11	-1.04905e-05	3.71935e-05	3.62399e-05	97.668
11.8879	10.3005	6.871772565e-11	2.6703e-05	-9.53682e-07	2.9564e-05	-10.08
13.4723	10.7005	7.138624565e-11	-2.00273e-05	-6.67575e-06	2.3842e-05	-152.82
15.0259	11.101	7.40581013e-11	3.81473e-06	-1.62126e-05	1.71663e-05	-56.31
16.5867	11.501	7.672662129999999e-11	1.90736e-05	-1.14442e-05	1.90736e-05	-32.004
18.1378	11.901	7.939514129999999e-11	1.90736e-05	-1.90736e-06	2.00273e-05	-8.88
