X 	 Y 	 R 	 theta 
#With Preamplifier, Finding A, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=200uV, position 8mm
-4.46143e-05	-8.06008e-05	9.19853e-05	-119.298
-3.81025e-05	-7.09002e-05	7.9744e-05	-116.646
-5.11559e-05	-9.919e-05	0.000112631	-118.218
-5.79136e-05	-7.74194e-05	9.64259e-05	-126.438
-4.65515e-05	-7.65626e-05	8.92584e-05	-121.524
-4.22152e-05	-8.27168e-05	9.36617e-05	-118.134
-9.24249e-05	-5.47545e-05	0.000107229	-150.3
-6.8218e-05	-8.60696e-05	0.00010968	-127.488
-8.05338e-05	-8.66358e-05	0.000116408	-132.378
-4.52253e-05	-8.72095e-05	9.79607e-05	-116.526
-5.66321e-05	-7.96174e-05	9.85046e-05	-126.99
-4.73189e-05	-8.97129e-05	0.000100062	-116.946
-4.30199e-05	-8.4721e-05	9.49283e-05	-115.536
-6.4828e-05	-9.31849e-05	0.000114128	-125.22
-5.98433e-05	-6.79125e-05	8.98247e-05	-130.596
-6.13858e-05	-7.87009e-05	0.000100464	-128.1
-7.04606e-05	-9.72901e-05	0.000119508	-125.112
-5.32197e-05	-9.33637e-05	0.000107691	-119.826
-6.16615e-05	-0.000116416	0.00013213	-118.398
-5.00905e-05	-0.000126095	0.00013616	-112.044
-8.14577e-05	-0.000104994	0.000132875	-127.962
-7.42381e-05	-0.000109219	0.000132226	-123.846
-8.2158e-05	-0.000113741	0.000140713	-126.234
-8.76789e-05	-9.71262e-05	0.000130088	-132.366
-8.24635e-05	-0.000100628	0.000130341	-129.39
-8.46167e-05	-0.000127264	0.000153095	-123.084
-8.83867e-05	-8.97502e-05	0.000124821	-134.16
-8.25305e-05	-8.12192e-05	0.000115112	-134.94
-7.80602e-05	-9.02195e-05	0.000119828	-131.184
-5.45087e-05	-8.69562e-05	0.000101507	-121.146
-6.40382e-05	-0.00010074	0.000119627	-123.132
-5.82787e-05	-9.69698e-05	0.000112877	-120.612
-7.2368e-05	-9.65451e-05	0.000121229	-127.254
-8.27094e-05	-9.84971e-05	0.000128211	-129.954
-6.22426e-05	-0.000102811	0.000119195	-119.586
-3.18366e-05	-8.36183e-05	8.87518e-05	-110.808
-4.07028e-05	-7.86786e-05	8.89529e-05	-117.108
-2.829e-05	-9.9801e-05	0.000104368	-106.47
-4.00322e-05	-7.92225e-05	8.83345e-05	-116.862
-2.74183e-05	-9.71858e-05	0.000100904	-105.18
-2.40804e-05	-7.28075e-05	7.64434e-05	-108.414
-5.18116e-05	-0.000102021	0.000114732	-116.898
-5.01426e-05	-8.9318e-05	0.000102744	-119.856
-4.25058e-05	-7.77771e-05	8.86177e-05	-118.908
-5.84277e-05	-0.000109934	0.000124739	-118.254
-8.14577e-05	-0.00010185	0.000130148	-128.586
-2.48851e-05	-0.000109084	0.000111796	-102.462
-4.87941e-05	-8.12416e-05	9.51295e-05	-122.616
-6.54538e-05	-6.96634e-05	9.48687e-05	-132.834
-7.10045e-05	-7.59442e-05	0.000103623	-132.426
-6.12517e-05	-8.28509e-05	0.000102118	-126.3
-4.89729e-05	-8.31936e-05	9.7089e-05	-120.414
-2.61815e-05	-8.34172e-05	8.70978e-05	-107.724
-5.41883e-05	-7.57133e-05	9.34978e-05	-126.39
-3.32969e-05	-8.35289e-05	9.09125e-05	-111.51
-4.57617e-05	-7.24797e-05	8.63527e-05	-122.502
-6.97975e-05	-6.377e-05	9.42429e-05	-137.97
-5.02097e-05	-5.65576e-05	7.62944e-05	-131.952
-5.45161e-05	-5.45385e-05	7.62572e-05	-134.88
-4.96286e-05	-6.82254e-05	8.52873e-05	-125.472
-6.9127e-05	-7.37612e-05	0.000101738	-133.404
-4.66185e-05	-5.4084e-05	7.05128e-05	-129.912
-4.21184e-05	-6.80839e-05	7.98036e-05	-122.376
-3.8408e-05	-5.59913e-05	6.7458e-05	-122.82
-4.53445e-05	-7.64285e-05	8.98396e-05	-121.338
-4.35489e-05	-9.32445e-05	0.000104219	-116.136
-4.65738e-05	-6.44852e-05	7.92299e-05	-125.934
-6.16913e-05	-5.87183e-05	8.42293e-05	-134.898
-3.59642e-05	-8.95341e-05	9.60832e-05	-111.258
-3.60759e-05	-5.88449e-05	6.87395e-05	-122.274
-6.0268e-05	-7.44467e-05	9.57106e-05	-129.282
-4.80714e-05	-6.9276e-05	8.35438e-05	-123.918
-4.27293e-05	-5.89194e-05	7.3195e-05	-127.284
-6.27195e-05	-6.40084e-05	8.98768e-05	-134.604
-4.81459e-05	-6.69588e-05	8.186e-05	-125.358
-3.69775e-05	-6.06331e-05	7.017e-05	-119.826
-3.13672e-05	-4.66111e-05	5.71164e-05	-124.926
-3.74021e-05	-6.51409e-05	7.52066e-05	-119.736
-6.00221e-05	-7.1161e-05	9.37958e-05	-130.662
-5.97017e-05	-6.91419e-05	9.20524e-05	-130.314
-3.13225e-05	-9.51742e-05	0.000100337	-107.814
-3.87656e-05	-6.58561e-05	7.63168e-05	-121.014
-4.51731e-05	-7.78292e-05	8.97725e-05	-120.756
-5.23108e-05	-7.5676e-05	9.20002e-05	-124.632
-4.08518e-05	-8.65166e-05	9.66643e-05	-115.92
-6.21532e-05	-8.525e-05	0.000105128	-125.874
-3.49882e-05	-8.64048e-05	9.21492e-05	-111.006
-3.77076e-05	-6.65938e-05	7.6585e-05	-118.362
-4.73338e-05	-5.72579e-05	7.47596e-05	-130.128
-5.5291e-05	-7.57654e-05	9.33264e-05	-125.904
-4.10902e-05	-6.33751e-05	7.59368e-05	-123.636
-4.94572e-05	-7.51843e-05	8.94149e-05	-123.12
