Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence 1 filter = NE15A-B, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=20mV
8.9198	8.0	5.33704e-11	-4.29156e-05	-6.5804e-05	7.72481e-05	-123.15
12.2783	8.5	5.670605e-11	-3.14715e-05	-6.2943e-05	6.96187e-05	-116.562
15.8285	9.0	6.004169999999999e-11	-1.43052e-05	-6.48503e-05	6.67577e-05	-103.206
19.3957	9.5	6.337735e-11	-3.33788e-05	-5.6267e-05	6.38966e-05	-119.226
22.6894	10.0	6.6713e-11	-4.95913e-05	-6.5804e-05	8.10628e-05	-127.71
25.9839	10.5	7.004865e-11	-1.71663e-05	-6.38966e-05	6.48503e-05	-104.178
29.2791	11.0	7.33843e-11	-2.28883e-05	-5.0545e-05	5.43597e-05	-113.748
32.5576	11.5	7.671994999999999e-11	-3.62399e-05	-5.53133e-05	6.48503e-05	-122.382
36.108	12.0	8.00556e-11	-5.24523e-05	-6.00817e-05	7.91554e-05	-129.558
39.4171	12.5	8.339125e-11	-1.62126e-05	-6.48503e-05	6.67577e-05	-102.096
42.9684	13.0	8.67269e-11	-4.29156e-05	-5.6267e-05	7.05724e-05	-127.302
46.5187	13.5	9.006255e-11	-2.57493e-05	-5.81744e-05	6.19893e-05	-115.752
49.7969	14.0	9.339819999999999e-11	-4.00546e-05	-7.1526e-05	8.10628e-05	-119.28
