Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence 1 filter = NE15A-B, ZnTe detector angle dependance 40deg, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=200uV
3.9188	6.0	4.00278e-11	-5.91206e-05	-0.000115052	0.00012935	-117.684
7.501	6.5	4.336345e-11	-4.44429e-05	-0.000149385	0.000155614	-106.206
10.7954	7.0	4.6699099999999995e-11	-4.5799e-05	-0.000137993	0.000145563	-108.426
14.074	7.5	5.0034749999999996e-11	-6.31814e-05	-0.000142605	0.000156322	-114.258
17.3518	8.0	5.33704e-11	-8.80738e-05	-0.000188255	0.000207731	-115.56
20.6463	8.5	5.670605e-11	-5.43671e-05	-0.000218445	0.000218437	-98.016
23.9572	9.0	6.004169999999999e-11	-2.22848e-05	-0.000105411	0.000106931	-102.024
27.5074	9.5	6.337735e-11	-8.89008e-05	-0.00019432	0.000213818	-114.894
