X 	 Y 	 R 	 theta 
#With Preamplifier,Turning the emitter ZnTe, ZnTe detector angle dependance 40deg, Chopper inside probe 388Hz inside Pump 230Hz, time constant=0.3s 18dB, waiting time= 1s, sensitivity=20mV, position 6mm
-0.000148774	-0.000123025	0.000178338	-138.144
2.6703e-05	-4.00546e-05	4.86376e-05	-53.13
2.57493e-05	-1.04905e-05	2.57493e-05	-20.724
2.47956e-05	-3.81473e-06	2.47956e-05	-6.012
1.62126e-05	-1.33515e-05	2.19346e-05	-36.528
3.62399e-05	9.5368e-06	3.71935e-05	15.252
3.71935e-05	-1.62126e-05	4.19619e-05	-22.62
3.52862e-05	-3.14715e-05	4.76839e-05	-41.034
5.0545e-05	-2.19346e-05	5.43597e-05	-23.748
4.48229e-05	-1.04905e-05	4.57766e-05	-12.438
5.6267e-05	-3.33788e-05	6.48503e-05	-31.062
3.91009e-05	-2.00273e-05	4.38693e-05	-26.952
3.43325e-05	-6.67575e-06	3.52862e-05	-9.462
5.14986e-05	-2.0981e-05	5.53133e-05	-23.202
4.48229e-05	0.0	4.48229e-05	2.49
3.33788e-05	-1.62126e-05	3.71935e-05	-26.112
3.14715e-05	-9.5368e-06	3.24252e-05	-15.462
3.05178e-05	-2.00273e-05	3.71935e-05	-31.476
6.38966e-05	-3.33788e-05	7.24797e-05	-26.796
4.57766e-05	-1.33515e-05	4.67303e-05	-16.392
4.00546e-05	2.86104e-06	3.91009e-05	4.926
5.81744e-05	-1.43052e-05	5.9128e-05	-12.666
6.19893e-05	-9.53682e-07	6.19893e-05	-0.624
7.1526e-05	-8.58313e-06	7.24797e-05	-6.864
2.57493e-05	-2.3842e-05	3.33788e-05	-45.804
2.28883e-05	-9.5368e-06	2.47956e-05	-21.804
4.67303e-05	-1.23978e-05	5.0545e-05	-12.768
6.5804e-05	1.90736e-06	6.67577e-05	0.564
5.9128e-05	-2.00273e-05	6.00817e-05	-19.05
2.76567e-05	-1.14442e-05	2.86103e-05	-23.55
3.43325e-05	-4.7684e-06	3.52862e-05	-7.524
7.53407e-05	-2.0981e-05	7.82018e-05	-15.21
4.48229e-05	-1.81199e-05	4.86376e-05	-20.646
5.9128e-05	-1.71663e-05	6.19893e-05	-15.522
5.6267e-05	-2.47956e-05	6.19893e-05	-22.38
4.57766e-05	3.81473e-06	4.57766e-05	4.146
3.62399e-05	-2.86103e-05	4.48229e-05	-37.722
2.9564e-05	-6.67575e-06	2.9564e-05	-11.82
2.86103e-05	-2.0981e-05	3.52862e-05	-35.166
3.05178e-05	-2.0981e-05	3.62399e-05	-32.226
3.33788e-05	2.86104e-06	3.52862e-05	7.524
3.91009e-05	1.33515e-05	4.19619e-05	17.574
4.29156e-05	-2.3842e-05	4.86376e-05	-28.608
3.62399e-05	-2.0981e-05	4.00546e-05	-31.296
2.19346e-05	-1.81199e-05	2.86103e-05	-34.044
4.57766e-05	-3.24252e-05	5.53133e-05	-33.312
3.52862e-05	-2.6703e-05	4.29156e-05	-37.404
2.9564e-05	-9.53682e-07	3.05178e-05	-1.218
2.57493e-05	-3.05178e-05	3.91009e-05	-47.724
7.62945e-06	-9.5368e-06	1.23978e-05	-38.658
5.14986e-05	8.58313e-06	5.24523e-05	8.64
5.14986e-05	-5.72208e-06	5.0545e-05	-6.756
3.52862e-05	-2.3842e-05	4.29156e-05	-30.51
3.52862e-05	-2.86104e-06	3.62399e-05	-3.12
3.62399e-05	-8.58313e-06	3.71935e-05	-13.068
5.9128e-05	3.81473e-06	5.81744e-05	4.548
3.81472e-05	-2.86104e-06	3.71935e-05	-5.016
5.9128e-05	-2.47956e-05	6.48503e-05	-21.906
5.72207e-05	-8.58313e-06	5.6267e-05	-8.13
3.71935e-05	-2.19346e-05	4.19619e-05	-30.966
3.52862e-05	1.90736e-06	3.52862e-05	5.292
4.10082e-05	1.23978e-05	4.29156e-05	16.188
2.3842e-05	8.58313e-06	2.57493e-05	18.888
3.71935e-05	-2.3842e-05	4.38693e-05	-34.158
5.24523e-05	-2.3842e-05	5.72207e-05	-21.18
3.62399e-05	5.72208e-06	3.52862e-05	8.916
3.33788e-05	-2.86104e-06	3.52862e-05	-3.18
4.57766e-05	-1.33515e-05	4.86376e-05	-16.698
4.57766e-05	-2.0981e-05	4.95913e-05	-24.51
2.86103e-05	1.23978e-05	3.05178e-05	23.838
3.05178e-05	1.62126e-05	3.52862e-05	28.008
3.52862e-05	1.62126e-05	3.91009e-05	24.906
5.53133e-05	-1.04905e-05	5.53133e-05	-11.712
4.86376e-05	-2.9564e-05	5.6267e-05	-30.846
4.29156e-05	-2.9564e-05	5.0545e-05	-34.506
3.91009e-05	-3.62399e-05	5.24523e-05	-40.842
4.38693e-05	-1.33515e-05	4.57766e-05	-15.612
6.38966e-05	-1.33515e-05	6.48503e-05	-11.196
4.29156e-05	-1.90736e-05	4.57766e-05	-25.068
5.24523e-05	-3.81472e-05	6.38966e-05	-34.848
4.38693e-05	-2.3842e-05	4.86376e-05	-26.562
7.05724e-05	-2.57493e-05	7.43871e-05	-21.33
5.53133e-05	-9.5368e-06	5.53133e-05	-8.904
5.24523e-05	-2.86104e-06	5.24523e-05	-4.398
4.57766e-05	-9.5368e-06	4.86376e-05	-11.766
4.57766e-05	-2.76567e-05	5.24523e-05	-31.086
4.19619e-05	-3.43325e-05	5.43597e-05	-38.118
6.19893e-05	-4.7684e-06	6.19893e-05	-3.048
6.10356e-05	-3.81473e-06	6.10356e-05	-3.114
2.19346e-05	-2.00273e-05	2.86103e-05	-41.31
3.71935e-05	-4.29156e-05	5.53133e-05	-48.816
3.24252e-05	-1.33515e-05	3.52862e-05	-18.78
5.43597e-05	1.23978e-05	5.43597e-05	12.678
2.9564e-05	-1.90736e-05	3.52862e-05	-34.902
5.6267e-05	-6.67575e-06	5.72207e-05	-5.976
7.24797e-05	-1.04905e-05	7.43871e-05	-7.626
5.0545e-05	-2.9564e-05	5.6267e-05	-32.004
2.9564e-05	-2.0981e-05	3.62399e-05	-34.566
3.52862e-05	-2.00273e-05	3.91009e-05	-31.296
3.52862e-05	-1.81199e-05	3.91009e-05	-27.9
3.24252e-05	-2.28883e-05	3.91009e-05	-33.15
3.05178e-05	-3.52862e-05	4.57766e-05	-47.34
4.29156e-05	-2.0981e-05	4.86376e-05	-23.808
4.95913e-05	-1.43052e-05	5.0545e-05	-17.718
2.57493e-05	-2.86104e-06	2.57493e-05	-4.398
2.00273e-05	-2.28883e-05	2.9564e-05	-49.398
2.9564e-05	2.86104e-06	3.05178e-05	8.838
4.57766e-05	-3.81473e-06	4.57766e-05	-4.086
6.19893e-05	3.81473e-06	6.19893e-05	4.26
4.67303e-05	-5.72208e-06	4.57766e-05	-7.65
3.43325e-05	-2.86104e-06	3.33788e-05	-3.432
2.86103e-05	-1.23978e-05	3.14715e-05	-22.89
4.19619e-05	-2.86104e-06	4.10082e-05	-2.772
3.62399e-05	-1.81199e-05	4.00546e-05	-26.148
3.05178e-05	1.90736e-06	2.9564e-05	5.196
5.53133e-05	-2.19346e-05	6.00817e-05	-19.824
4.19619e-05	-3.43325e-05	5.3406e-05	-39.438
3.71935e-05	-1.04905e-05	4.00546e-05	-12.228
4.38693e-05	1.90736e-06	4.38693e-05	2.604
3.62399e-05	-9.5368e-06	3.71935e-05	-11.112
5.0545e-05	1.23978e-05	5.24523e-05	13.692
5.72207e-05	-6.67575e-06	5.72207e-05	-7.29
2.6703e-05	-1.14442e-05	2.86103e-05	-23.028
2.00273e-05	-3.62399e-05	4.10082e-05	-58.092
3.05178e-05	-6.67575e-06	3.05178e-05	-13.446
5.72207e-05	-3.33788e-05	6.67577e-05	-29.604
7.1526e-05	-2.47956e-05	7.43871e-05	-20.202
5.9128e-05	-3.71935e-05	6.8665e-05	-32.298
4.57766e-05	-1.43052e-05	4.76839e-05	-16.926
3.43325e-05	-3.81473e-06	3.62399e-05	-3.12
5.53133e-05	-8.58313e-06	5.6267e-05	-8.904
3.05178e-05	-1.14442e-05	3.14715e-05	-20.412
3.81472e-05	-1.33515e-05	4.19619e-05	-18.714
4.19619e-05	-2.00273e-05	4.67303e-05	-25.842
3.71935e-05	-2.9564e-05	4.86376e-05	-35.628
3.81472e-05	-1.14442e-05	3.91009e-05	-13.572
5.0545e-05	0.0	5.0545e-05	-0.732
2.28883e-05	-2.9564e-05	3.52862e-05	-51.168
4.10082e-05	1.52589e-05	4.57766e-05	19.98
2.86103e-05	-1.04905e-05	2.86103e-05	-22.518
5.14986e-05	-3.33788e-05	6.19893e-05	-30.126
4.76839e-05	-7.62945e-06	4.86376e-05	-9.966
2.86103e-05	-1.14442e-05	3.05178e-05	-19.23
4.86376e-05	2.86104e-06	4.86376e-05	3.972
3.62399e-05	-1.81199e-05	3.91009e-05	-24.06
5.6267e-05	-1.14442e-05	5.72207e-05	-11.31
6.5804e-05	-1.62126e-05	6.96187e-05	-12.468
6.19893e-05	-5.3406e-05	8.20165e-05	-39.804
5.6267e-05	-2.9564e-05	6.38966e-05	-26.298
6.38966e-05	-3.81472e-05	7.43871e-05	-29.25
5.0545e-05	-4.86376e-05	6.77113e-05	-44.214
5.24523e-05	-3.81472e-05	6.48503e-05	-35.472
3.71935e-05	-2.47956e-05	4.48229e-05	-32.988
3.24252e-05	-4.00546e-05	5.14986e-05	-51.228
3.24252e-05	-6.19893e-05	6.8665e-05	-61.962
6.10356e-05	-3.14715e-05	6.96187e-05	-26.322
4.95913e-05	-2.3842e-05	5.3406e-05	-25.926
3.81472e-05	-4.29156e-05	5.72207e-05	-47.364
5.0545e-05	-3.62399e-05	6.38966e-05	-34.506
2.3842e-05	-3.91009e-05	4.57766e-05	-57.468
2.9564e-05	-4.29156e-05	5.0545e-05	-54.03
4.86376e-05	-4.57766e-05	6.5804e-05	-42.156
5.53133e-05	-3.24252e-05	6.48503e-05	-28.656
4.48229e-05	-3.91009e-05	5.9128e-05	-41.796
5.24523e-05	-3.62399e-05	6.2943e-05	-33.69
2.00273e-05	-9.53682e-07	2.00273e-05	-1.848
2.57493e-05	-1.62126e-05	3.05178e-05	-28.704
1.33515e-05	-4.7684e-06	1.33515e-05	-20.226
1.90736e-05	-1.33515e-05	2.19346e-05	-34.158
3.05178e-05	-2.28883e-05	3.62399e-05	-34.566
3.71935e-05	-6.67575e-06	3.91009e-05	-8.676
3.05178e-05	-1.71663e-05	3.43325e-05	-31.536
3.05178e-05	-2.00273e-05	3.71935e-05	-28.854
4.48229e-05	-9.53682e-07	4.48229e-05	0.0
2.00273e-05	-1.33515e-05	2.47956e-05	-29.196
1.71663e-05	-8.58313e-06	1.81199e-05	-22.932
0.0	4.7684e-06	4.7684e-06	74.052
-3.81473e-06	-1.14442e-05	1.04905e-05	-115.02
-2.86104e-06	-1.43052e-05	1.33515e-05	-100.782
1.90736e-05	-1.43052e-05	2.28883e-05	-37.878
2.9564e-05	2.86104e-06	3.05178e-05	6.072
4.00546e-05	0.0	4.10082e-05	0.924
3.52862e-05	6.67575e-06	3.62399e-05	8.274
4.57766e-05	-1.90736e-05	4.95913e-05	-22.506
3.24252e-05	-2.00273e-05	3.91009e-05	-27.9
3.91009e-05	-1.14442e-05	4.19619e-05	-14.472
2.86103e-05	-1.81199e-05	3.24252e-05	-33.366
1.81199e-05	-3.43325e-05	3.71935e-05	-60.252
2.19346e-05	-6.67575e-06	2.3842e-05	-18.432
3.05178e-05	-2.9564e-05	4.19619e-05	-43.728
1.81199e-05	-3.62399e-05	3.91009e-05	-59.532
2.86103e-05	-2.86103e-05	3.91009e-05	-45.0
2.9564e-05	-3.14715e-05	4.19619e-05	-48.216
5.72208e-06	5.72208e-06	8.58313e-06	36.87
1.90736e-05	-2.86104e-06	1.90736e-05	-5.904
2.19346e-05	-1.33515e-05	2.6703e-05	-24.102
1.23978e-05	1.62126e-05	2.0981e-05	53.844
1.52589e-05	-7.62945e-06	1.62126e-05	-27.552
4.7684e-06	-2.86104e-06	5.72208e-06	-23.964
2.76567e-05	-3.33788e-05	4.29156e-05	-48.078
2.9564e-05	-3.81473e-06	2.86103e-05	-5.316
1.52589e-05	-1.62126e-05	2.28883e-05	-45.0
-3.81473e-06	-1.23978e-05	1.14442e-05	-103.242
1.04905e-05	-1.33515e-05	1.71663e-05	-41.988
2.57493e-05	0.0	2.57493e-05	-1.47
6.67575e-06	-9.5368e-06	1.04905e-05	-50.712
1.04905e-05	-1.14442e-05	1.62126e-05	-36.87
7.62945e-06	-1.81199e-05	1.90736e-05	-63.438
3.24252e-05	5.72208e-06	3.24252e-05	15.462
9.5368e-06	1.14442e-05	1.52589e-05	45.0
2.3842e-05	-1.23978e-05	2.3842e-05	-27.978
5.72208e-06	-1.62126e-05	1.81199e-05	-62.526
1.71663e-05	-1.71663e-05	2.47956e-05	-41.76
1.90736e-05	6.67575e-06	2.00273e-05	23.202
1.04905e-05	-2.3842e-05	2.57493e-05	-62.178
1.71663e-05	-1.62126e-05	2.3842e-05	-35.91
3.71935e-05	-1.43052e-05	3.91009e-05	-20.556
2.19346e-05	-1.33515e-05	2.57493e-05	-31.218
2.57493e-05	-1.71663e-05	3.14715e-05	-28.14
2.9564e-05	0.0	3.05178e-05	1.218
2.0981e-05	8.58313e-06	2.28883e-05	24.306
1.23978e-05	-3.81473e-06	1.52589e-05	-7.122
3.52862e-05	-6.67575e-06	3.52862e-05	-8.748
3.43325e-05	-1.43052e-05	3.52862e-05	-22.206
3.05178e-05	-1.62126e-05	3.52862e-05	-26.094
2.19346e-05	-1.14442e-05	2.57493e-05	-25.278
1.90736e-05	-2.0981e-05	2.86103e-05	-45.912
3.52862e-05	-2.28883e-05	4.00546e-05	-33.69
3.52862e-05	2.86104e-06	3.43325e-05	5.598
2.86103e-05	3.81473e-06	2.57493e-05	10.44
2.86103e-05	-1.14442e-05	3.05178e-05	-23.358
8.58313e-06	-2.00273e-05	2.19346e-05	-70.464
1.71663e-05	1.23978e-05	2.3842e-05	34.116
4.76839e-05	-2.86104e-06	4.86376e-05	-3.864
1.43052e-05	-2.3842e-05	2.76567e-05	-60.948
1.43052e-05	1.52589e-05	2.19346e-05	46.218
2.3842e-05	3.81473e-06	2.57493e-05	10.176
2.6703e-05	-2.86104e-06	2.6703e-05	-4.29
2.86104e-06	-6.67575e-06	5.72208e-06	-66.036
1.52589e-05	-2.19346e-05	2.6703e-05	-52.596
3.71935e-05	-9.53682e-07	3.52862e-05	1.08
4.7684e-06	-5.72208e-06	7.62945e-06	-45.0
1.62126e-05	0.0	1.62126e-05	2.202
3.05178e-05	1.90736e-06	3.05178e-05	4.968
1.90736e-05	-1.14442e-05	2.00273e-05	-29.25
2.28883e-05	1.23978e-05	2.86103e-05	30.066
5.72207e-05	2.86104e-06	5.72207e-05	3.33
4.86376e-05	-1.33515e-05	5.0545e-05	-15.846
1.23978e-05	-1.14442e-05	1.71663e-05	-36.87
1.62126e-05	-1.62126e-05	2.0981e-05	-42.396
1.90736e-05	-1.62126e-05	2.3842e-05	-39.402
-1.14442e-05	-2.47956e-05	2.57493e-05	-115.278
1.33515e-05	-6.67575e-06	1.52589e-05	-21.372
1.90736e-05	2.28883e-05	2.9564e-05	50.358
2.6703e-05	5.72208e-06	2.76567e-05	11.04
3.05178e-05	1.33515e-05	3.14715e-05	28.704
-1.14442e-05	-2.00273e-05	2.19346e-05	-115.02
-2.00273e-05	-2.6703e-05	3.24252e-05	-129.96
2.86104e-06	-2.0981e-05	2.0981e-05	-75.528
3.81473e-06	-4.7684e-06	3.81473e-06	-63.438
1.52589e-05	-2.00273e-05	2.3842e-05	-50.388
4.7684e-06	-1.90736e-05	1.81199e-05	-70.908
3.81473e-06	-9.53682e-07	3.81473e-06	-8.13
8.58313e-06	-3.14715e-05	3.24252e-05	-72.3
1.62126e-05	-1.43052e-05	2.19346e-05	-41.184
2.6703e-05	-3.91009e-05	4.67303e-05	-55.866
-2.86104e-06	-2.00273e-05	1.90736e-05	-95.712
1.23978e-05	-1.23978e-05	1.62126e-05	-41.82
2.86103e-05	-6.67575e-06	2.86103e-05	-14.676
3.05178e-05	-3.05178e-05	4.19619e-05	-43.11
1.04905e-05	-4.7684e-06	1.04905e-05	-25.02
2.28883e-05	-9.5368e-06	2.3842e-05	-20.376
1.23978e-05	-6.67575e-06	1.52589e-05	-26.562
2.3842e-05	-3.33788e-05	4.00546e-05	-53.694
2.28883e-05	-1.43052e-05	2.57493e-05	-32.472
1.14442e-05	-2.6703e-05	2.86103e-05	-64.59
9.5368e-06	-7.62945e-06	1.23978e-05	-33.69
2.00273e-05	-1.14442e-05	2.28883e-05	-30.144
6.67575e-06	-8.58313e-06	1.14442e-05	-45.0
1.23978e-05	-2.6703e-05	2.86103e-05	-64.026
2.19346e-05	-1.71663e-05	2.86103e-05	-36.12
3.05178e-05	-3.81472e-05	4.67303e-05	-52.482
-8.58313e-06	-2.76567e-05	2.76567e-05	-107.1
3.05178e-05	-2.57493e-05	4.00546e-05	-39.684
3.33788e-05	-2.0981e-05	3.81472e-05	-32.856
8.58313e-06	-1.90736e-06	8.58313e-06	-17.1
5.72208e-06	-4.7684e-06	6.67575e-06	-26.562
8.58313e-06	-6.67575e-06	1.23978e-05	-30.468
1.14442e-05	-7.62945e-06	1.23978e-05	-38.658
9.53682e-07	-1.81199e-05	1.71663e-05	-87.708
1.14442e-05	-2.3842e-05	2.47956e-05	-62.742
1.62126e-05	-2.57493e-05	3.05178e-05	-55.62
2.19346e-05	-2.86104e-06	2.28883e-05	-1.638
3.14715e-05	-4.7684e-06	3.14715e-05	-9.66
9.5368e-06	-1.81199e-05	1.90736e-05	-63.438
-6.67575e-06	-7.62945e-06	8.58313e-06	-124.992
-6.67575e-06	-1.14442e-05	1.23978e-05	-112.38
1.71663e-05	1.04905e-05	2.19346e-05	31.83
2.3842e-05	-2.76567e-05	3.62399e-05	-47.172
4.57766e-05	-2.47956e-05	5.24523e-05	-26.886
2.86103e-05	-1.14442e-05	3.05178e-05	-19.98
-4.7684e-06	-1.43052e-05	1.52589e-05	-104.622
2.3842e-05	-9.5368e-06	2.57493e-05	-19.356
1.81199e-05	-2.57493e-05	2.9564e-05	-56.31
2.6703e-05	-2.0981e-05	3.52862e-05	-34.566
2.00273e-05	-1.62126e-05	2.3842e-05	-39.174
1.71663e-05	-1.62126e-05	2.19346e-05	-40.032
9.5368e-06	-2.3842e-05	2.3842e-05	-65.556
2.76567e-05	-1.90736e-05	3.24252e-05	-35.274
2.86103e-05	-2.0981e-05	3.62399e-05	-35.418
3.05178e-05	-1.04905e-05	3.24252e-05	-15.462
2.6703e-05	-1.23978e-05	2.86103e-05	-23.028
2.28883e-05	-4.7684e-06	2.3842e-05	-12.876
2.3842e-05	-2.86104e-06	2.19346e-05	-3.576
3.43325e-05	-1.04905e-05	3.71935e-05	-15.252
1.71663e-05	-1.33515e-05	2.19346e-05	-33.69
2.57493e-05	-3.14715e-05	4.10082e-05	-50.082
9.5368e-06	4.7684e-06	1.04905e-05	30.966
3.81473e-06	1.52589e-05	1.62126e-05	75.966
1.71663e-05	-2.47956e-05	2.9564e-05	-53.88
4.38693e-05	-9.5368e-06	4.57766e-05	-10.668
2.57493e-05	-9.5368e-06	2.6703e-05	-17.1
2.57493e-05	-4.7684e-06	2.3842e-05	-9.21
-1.71663e-05	-1.71663e-05	2.19346e-05	-132.612
1.33515e-05	-1.62126e-05	2.00273e-05	-47.604
1.14442e-05	-3.05178e-05	3.14715e-05	-67.752
1.62126e-05	-3.14715e-05	3.52862e-05	-58.326
2.57493e-05	-3.62399e-05	4.29156e-05	-54.564
-1.14442e-05	-1.62126e-05	1.90736e-05	-127.692
2.00273e-05	-1.52589e-05	2.47956e-05	-36.57
3.81473e-06	-2.28883e-05	2.19346e-05	-74.748
2.3842e-05	-2.00273e-05	3.14715e-05	-38.088
3.43325e-05	1.52589e-05	3.71935e-05	22.38
1.23978e-05	-3.14715e-05	3.33788e-05	-66.948
4.7684e-06	-2.3842e-05	2.3842e-05	-75.174
