Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (None), ZnTe detector angle 0deg thickness 2mm, Chopper 230Hz, time constant=0.3s 18dB, waiting time= 2.7s, sensitivity=20mV
3.9508	6.1	4.0694929999999993e-11	-6.67575e-06	-1.81199e-05	1.90736e-05	-109.656
7.326	6.2	4.136206e-11	-2.86103e-05	4.7684e-06	2.9564e-05	171.162
10.86	6.3	4.2029189999999994e-11	1.33515e-05	1.04905e-05	1.71663e-05	41.988
14.1546	6.4	4.269632e-11	-4.7684e-06	-1.14442e-05	1.04905e-05	-115.02
17.4485	6.5	4.336345e-11	-1.14442e-05	-5.72208e-06	1.33515e-05	-154.656
20.7113	6.6	4.4030579999999994e-11	-1.43052e-05	-7.62945e-06	1.52589e-05	-153.438
24.0059	6.7	4.469771e-11	8.58313e-06	-5.72208e-06	1.04905e-05	-30.966
27.2843	6.8	4.5364839999999995e-11	1.43052e-05	-6.67575e-06	1.52589e-05	-27.642
30.8185	6.9	4.603197e-11	1.23978e-05	-1.14442e-05	1.62126e-05	-40.104
34.0803	7.0	4.6699099999999995e-11	1.71663e-05	-1.52589e-05	2.28883e-05	-39.174
37.6312	7.1	4.7366229999999995e-11	1.90736e-06	-9.5368e-06	8.58313e-06	-68.964
40.9257	7.2	4.8033359999999996e-11	1.90736e-06	-7.62945e-06	6.67575e-06	-90.0
44.476	7.3	4.8700489999999996e-11	-1.14442e-05	-7.62945e-06	1.23978e-05	-143.13
47.7692	7.4	4.936762e-11	4.7684e-06	6.67575e-06	8.58313e-06	57.528
51.0646	7.5	5.0034749999999996e-11	-9.53682e-07	-9.5368e-06	7.62945e-06	-85.602
54.3588	7.6	5.0701879999999996e-11	9.5368e-06	4.7684e-06	9.5368e-06	30.258
57.6214	7.7	5.1369009999999997e-11	1.90736e-06	-1.90736e-06	1.90736e-06	-11.31
60.8998	7.8	5.203614e-11	-5.72208e-06	-9.5368e-06	1.04905e-05	-115.02
64.4492	7.9	5.270327e-11	-1.62126e-05	-9.5368e-06	1.71663e-05	-139.638
67.7277	8.0	5.33704e-11	-6.67575e-06	-6.67575e-06	8.58313e-06	-140.712
71.2789	8.1	5.403753e-11	1.04905e-05	1.23978e-05	1.71663e-05	45.0
74.5733	8.2	5.470465999999999e-11	-7.62945e-06	-6.67575e-06	1.04905e-05	-132.51
77.8357	8.3	5.5371790000000004e-11	-6.67575e-06	2.86104e-06	5.72208e-06	144.462
81.1143	8.4	5.603892e-11	2.19346e-05	-1.71663e-05	2.6703e-05	-37.998
84.6634	8.5	5.670605e-11	1.23978e-05	6.67575e-06	1.52589e-05	27.642
87.9586	8.6	5.737317999999999e-11	2.86104e-06	-1.33515e-05	1.33515e-05	-82.236
91.2204	8.7	5.804030999999999e-11	1.90736e-06	-9.53682e-07	1.90736e-06	-26.562
94.499	8.8	5.870744e-11	8.58313e-06	-1.33515e-05	1.52589e-05	-59.034
97.7776	8.9	5.937457e-11	-1.14442e-05	9.5368e-06	1.43052e-05	133.152
101.056	9.0	6.004169999999999e-11	-1.14442e-05	1.04905e-05	1.52589e-05	138.576
104.6068	9.1	6.070883e-11	-6.67575e-06	-6.67575e-06	8.58313e-06	-135.0
107.8847	9.2	6.137595999999999e-11	-5.72208e-06	3.81473e-06	5.72208e-06	125.538
111.1637	9.3	6.204309e-11	1.33515e-05	-1.90736e-06	1.33515e-05	-13.392
114.4571	9.4	6.271022e-11	-1.81199e-05	-1.14442e-05	1.90736e-05	-150.018
118.0083	9.5	6.337735e-11	-1.43052e-05	-1.62126e-05	2.00273e-05	-132.396
121.2857	9.6	6.404448e-11	-1.71663e-05	0.0	1.62126e-05	180.0
124.5812	9.7	6.471160999999999e-11	1.04905e-05	1.62126e-05	1.90736e-05	62.526
127.8756	9.8	6.537874000000001e-11	9.53682e-07	2.19346e-05	2.19346e-05	86.634
131.154	9.9	6.604587e-11	0.0	-2.00273e-05	1.90736e-05	-96.114
134.4166	10.0	6.6713e-11	-1.33515e-05	8.58313e-06	1.52589e-05	144.462
137.9668	10.1	6.738012999999999e-11	-4.7684e-06	-1.71663e-05	1.62126e-05	-106.926
141.2291	10.2	6.804726e-11	-2.86104e-06	1.90736e-06	1.90736e-06	143.13
144.4908	10.3	6.871439e-11	0.0	-9.5368e-06	8.58313e-06	-85.602
147.7695	10.4	6.938152e-11	1.52589e-05	9.5368e-06	1.71663e-05	32.472
151.3203	10.5	7.004865e-11	1.04905e-05	1.04905e-05	1.62126e-05	40.104
154.6148	10.6	7.071578e-11	-1.90736e-06	2.3842e-05	2.3842e-05	93.27
157.8935	10.7	7.138290999999999e-11	0.0	7.62945e-06	8.58313e-06	90.0
161.1718	10.8	7.205004e-11	-2.86104e-06	0.0	1.90736e-06	135.0
164.4503	10.9	7.271717e-11	8.58313e-06	1.04905e-05	1.52589e-05	48.576
167.7289	11.0	7.33843e-11	-9.5368e-06	-1.43052e-05	1.62126e-05	-125.538
171.279	11.1	7.405142999999999e-11	2.86104e-06	-2.57493e-05	2.3842e-05	-80.538
174.5572	11.2	7.471856e-11	0.0	6.67575e-06	6.67575e-06	90.0
177.8512	11.3	7.538569e-11	8.58313e-06	-2.0981e-05	2.19346e-05	-64.98
181.1301	11.4	7.605282e-11	3.81473e-06	-4.7684e-06	5.72208e-06	-57.996
