Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (NE02A-B), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 18dB, waiting time= 0.9s, sensitivity=20mV
1.4598	9.3	6.204309e-11	1.90736e-06	-1.04905e-05	1.04905e-05	-96.012
2.9796	9.303	6.20631039e-11	9.5368e-06	-9.5368e-06	1.33515e-05	-37.404
4.4506	9.306	6.208311779999999e-11	5.43597e-05	-9.5368e-06	4.95913e-05	-18.69
5.9383	9.309	6.210313169999999e-11	2.00273e-05	-3.71935e-05	4.38693e-05	-47.436
7.4577	9.312	6.21231456e-11	6.67575e-06	1.90736e-06	5.72208e-06	-24.444
8.9124	9.315	6.21431595e-11	5.9128e-05	-1.62126e-05	5.43597e-05	-15.846
10.6566	9.318	6.21631734e-11	6.96187e-05	8.58313e-06	6.2943e-05	9.258
12.1436	9.321	6.21831873e-11	0.00010109	4.00546e-05	0.000116349	19.656
13.6306	9.324	6.22032012e-11	0.000127793	4.48229e-05	0.000139237	19.38
15.1021	9.3275	6.222655075e-11	0.000156404	5.53133e-05	0.000169755	18.576
16.59	9.3305	6.224656465e-11	0.00017357	6.38966e-05	0.000178338	20.838
18.0768	9.3335	6.226657855e-11	0.000171662	9.05995e-05	0.000198365	27.582
19.5803	9.3365	6.228659244999999e-11	0.000232697	8.20165e-05	0.000240327	18.846
21.3242	9.3395	6.230660634999999e-11	0.000276567	0.000103951	0.000287058	20.604
22.8115	9.3425	6.232662024999999e-11	0.000298502	7.91554e-05	0.000311853	14.418
24.3145	9.3455	6.234663415e-11	0.000355722	0.000107766	0.00037575	16.446
25.7865	9.3485	6.236664805e-11	0.000380518	0.000123025	0.000400545	18.672
27.273	9.3515	6.238666195e-11	0.000398638	8.86922e-05	0.000409128	13.476
28.7444	9.3545	6.240667585e-11	0.000452043	0.000164987	0.000488285	19.344
30.2319	9.3575	6.242668975e-11	0.000473024	0.00015545	0.000500683	18.246
31.7032	9.3605	6.244670365e-11	0.000519756	0.00018406	0.000540737	20.586
33.1748	9.3635	6.246671754999999e-11	0.000601772	0.000207902	0.000641827	19.038
34.6624	9.3665	6.248673145e-11	0.000593189	0.000236512	0.000636104	21.876
36.134	9.3695	6.250674535e-11	0.000637058	0.000251772	0.000678066	22.116
37.6055	9.3725	6.252675925e-11	0.000652317	0.000298502	0.00071812	24.552
39.0927	9.376	6.255010879999999e-11	0.000672344	0.000295641	0.000729565	23.742
40.5959	9.379	6.257012269999999e-11	0.000717167	0.000298502	0.00078297	22.902
42.0832	9.382	6.25901366e-11	0.000661854	0.00030327	0.000734333	25.134
43.5704	9.385	6.26101505e-11	0.000687603	0.000289919	0.000741962	22.776
45.058	9.388	6.26301644e-11	0.000657085	0.00032902	0.000742916	26.268
46.8013	9.391	6.26501783e-11	0.000634197	0.000362398	0.000735287	29.88
48.2888	9.394	6.26701922e-11	0.000578884	0.000331881	0.000662807	29.922
49.7911	9.397	6.26902061e-11	0.000555996	0.000325205	0.000638012	30.426
51.2792	9.4	6.271022e-11	0.000515942	0.000334742	0.000615124	32.982
52.7665	9.403	6.27302339e-11	0.000425341	0.000343325	0.000550274	38.268
54.254	9.406	6.27502478e-11	0.000366213	0.000308039	0.000477793	40.47
55.7574	9.409	6.27702617e-11	0.000239373	0.000254633	0.000347139	47.574
57.2289	9.412	6.27902756e-11	0.000175477	0.000283243	0.00032902	59.316
58.7317	9.415	6.281028949999999e-11	6.67577e-05	0.000265123	0.000275614	73.566
60.2198	9.418	6.283030339999999e-11	-3.81473e-06	0.000221253	0.000216485	90.18
61.691	9.421	6.28503173e-11	-0.000150681	0.000154496	0.000214578	135.258
63.1947	9.424	6.28703312e-11	-0.000181199	9.82289e-05	0.000199319	150.6
64.6818	9.4275	6.289368075e-11	-0.000295641	4.86376e-05	0.000299456	171.024
66.1689	9.4305	6.291369465e-11	-0.000360491	1.23978e-05	0.00036812	179.076
67.6566	9.4335	6.293370855e-11	-0.000457766	-8.48775e-05	0.000460627	-169.95
69.16	9.4365	6.295372245e-11	-0.000426294	-6.2943e-05	0.000435831	-171.87
70.6792	9.4395	6.297373635e-11	-0.000498775	-0.000153542	0.000515942	-163.206
72.1505	9.4425	6.299375025e-11	-0.000491146	-0.000203134	0.0005312	-158.172
73.6373	9.4455	6.301376414999999e-11	-0.000519756	-0.000210763	0.000561718	-157.896
75.1255	9.4485	6.303377804999999e-11	-0.000448229	-0.000213624	0.000496868	-154.764
76.6122	9.4515	6.305379194999999e-11	-0.000466349	-0.000260355	0.000528339	-150.546
78.1003	9.4545	6.307380584999999e-11	-0.000384333	-0.000353815	0.000522617	-137.01
79.8596	9.4575	6.309381975e-11	-0.000351908	-0.000297548	0.000456812	-139.02
81.3304	9.4605	6.311383365e-11	-0.00029278	-0.000255587	0.000389101	-138.39
82.818	9.4635	6.313384755e-11	-0.000236512	-0.00023842	0.000331881	-135.246
84.3055	9.4665	6.315386145e-11	-0.000190736	-0.000258448	0.000320436	-126.774
85.7764	9.4695	6.317387535e-11	-8.86922e-05	-0.000216485	0.000236512	-114.72
87.2643	9.4725	6.319388924999999e-11	-7.62944e-05	-0.00021267	0.000225068	-108.54
88.7357	9.476	6.32172388e-11	-4.95913e-05	-0.00016594	0.000170709	-107.58
90.2388	9.479	6.323725269999999e-11	9.53682e-07	-0.00017357	0.000170709	-90.222
91.7262	9.482	6.325726659999999e-11	5.0545e-05	-0.000102044	0.000112534	-62.826
93.1973	9.485	6.327728049999999e-11	7.43871e-05	-8.48775e-05	0.000114441	-50.616
94.6691	9.488	6.329729439999999e-11	7.53407e-05	-5.6267e-05	9.72752e-05	-35.4
96.4283	9.491	6.33173083e-11	2.76567e-05	-3.14715e-05	4.19619e-05	-53.652
97.9316	9.494	6.33373222e-11	2.19346e-05	2.28883e-05	3.14715e-05	35.094
99.4191	9.497	6.33573361e-11	2.57493e-05	1.62126e-05	3.05178e-05	18.432
100.9062	9.5	6.337735e-11	7.62945e-06	5.72208e-06	4.7684e-06	75.966
