Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (NE02A-B), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 18dB, waiting time= 0.9s, sensitivity=20mV
1.6656	9.3	6.204309e-11	5.9128e-05	-2.6703e-05	6.77113e-05	-20.88
3.1852	9.305	6.20764465e-11	5.81744e-05	-3.52862e-05	7.24797e-05	-24.954
4.944	9.3105	6.211313865e-11	0.000143052	4.10082e-05	0.000152589	16.218
6.4313	9.3155	6.214649515e-11	0.00021267	7.05724e-05	0.000226975	17.532
8.1912	9.3205	6.217985165e-11	0.000329973	0.000116349	0.000355722	19.782
9.6945	9.3255	6.221320814999999e-11	0.000370027	0.000135423	0.000387194	19.338
11.4379	9.331	6.224990029999999e-11	0.000518803	0.000223161	0.000569347	23.55
12.9249	9.336	6.22832568e-11	0.000639919	0.000251772	0.000688557	21.216
14.4284	9.341	6.231661329999999e-11	0.000709537	0.000295641	0.000770573	22.584
15.9321	9.346	6.23499698e-11	0.000835422	0.000358583	0.000914577	23.172
17.6589	9.3515	6.238666195e-11	0.000916485	0.000402452	0.00100137	23.394
19.1466	9.3565	6.242001845e-11	0.0010109	0.000449182	0.00111104	23.88
20.9211	9.3615	6.245337495e-11	0.00107384	0.000533108	0.00121308	25.782
22.4252	9.3665	6.248673145e-11	0.00112057	0.000578884	0.00126839	27.24
24.1679	9.372	6.252342359999999e-11	0.00111771	0.00067902	0.00130368	31.224
25.6399	9.377	6.25567801e-11	0.00110722	0.000677112	0.00129891	31.266
27.3991	9.382	6.25901366e-11	0.00106049	0.000659946	0.0012579	31.818
28.8706	9.387	6.26234931e-11	0.000949863	0.000695232	0.0011778	35.958
30.3739	9.3925	6.266018525e-11	0.000799183	0.000688557	0.00105382	41.04
31.8613	9.3975	6.269354175e-11	0.000612263	0.000588421	0.000849728	43.602
33.6205	9.4025	6.272689824999999e-11	0.000411989	0.000504497	0.000653271	51.36
35.0913	9.4075	6.276025475e-11	0.000179292	0.000391962	0.000431063	66.156
36.8353	9.413	6.27969469e-11	-4.48229e-05	0.000289919	0.000295641	100.008
38.3545	9.418	6.283030339999999e-11	-0.000196458	0.000156404	0.000247957	143.316
40.0978	9.423	6.28636599e-11	-0.000299456	2.19346e-05	0.000308992	176.946
41.5853	9.428	6.289701640000001e-11	-0.000401499	-0.000105858	0.000409128	-164.826
43.0717	9.4335	6.293370855e-11	-0.000436785	-0.000253679	0.000508312	-150.516
44.5759	9.4385	6.296706504999999e-11	-0.000398638	-0.000317575	0.000516895	-141.75
46.0632	9.4435	6.300042155e-11	-0.000363352	-0.000370981	0.000521664	-134.688
47.5663	9.4485	6.303377804999999e-11	-0.000283243	-0.000381472	0.000471117	-125.04
49.07	9.454	6.30704702e-11	-0.000128747	-0.000360491	0.000374796	-109.728
50.5571	9.459	6.31038267e-11	-6.5804e-05	-0.000265123	0.000271799	-106.752
52.0449	9.464	6.31371832e-11	-2.00273e-05	-0.000200273	0.000196458	-97.32
53.5162	9.469	6.31705397e-11	0.0	-0.000154496	0.000154496	-89.262
55.0035	9.4745	6.320723185e-11	4.76839e-05	-6.19893e-05	7.24797e-05	-56.61
56.7468	9.4795	6.324058834999999e-11	7.43871e-05	-1.14442e-05	7.24797e-05	-1.05
58.2341	9.4845	6.327394485e-11	3.05178e-05	2.86104e-06	2.57493e-05	22.068
59.9775	9.4895	6.330730135e-11	1.52589e-05	1.62126e-05	2.19346e-05	30.648
61.4487	9.495	6.334399349999999e-11	2.28883e-05	8.58313e-06	2.57493e-05	11.886
63.24	9.5	6.337735e-11	-2.6703e-05	5.72208e-06	1.90736e-05	161.568
