Time (s) 	 Position (mm) 	 Delay (s) 	 X 	 Y 	 R 	 theta 
#Without Preamplifier,Fluence with Filter (NE07A-B), ZnTe detector angle 40deg, Chopper 230Hz, time constant=0.1s 18dB, waiting time= 0.9s, sensitivity=20mV
1.6684	7.658	5.10888154e-11	-4.7684e-06	-1.62126e-05	2.00273e-05	-125.91
3.2201	7.758	5.1755945399999996e-11	1.90736e-06	-9.53682e-07	1.90736e-06	111.804
5.0118	7.858	5.2423075399999997e-11	-3.62399e-05	1.52589e-05	3.52862e-05	157.38
6.5152	7.958	5.3090205399999997e-11	-2.76567e-05	1.90736e-05	3.52862e-05	139.512
8.2905	8.058	5.37573354e-11	-2.3842e-05	-1.71663e-05	2.19346e-05	-128.658
9.7779	8.158	5.442446539999999e-11	1.71663e-05	-1.81199e-05	2.86103e-05	-43.212
11.2651	8.258	5.509159539999999e-11	-4.7684e-06	1.04905e-05	1.33515e-05	71.568
12.7676	8.358	5.57587254e-11	9.53682e-07	0.0	1.90736e-06	164.052
14.5438	8.458	5.64258554e-11	1.90736e-06	2.28883e-05	2.86103e-05	105.78
16.0472	8.558	5.70929854e-11	2.28883e-05	-6.67575e-06	1.71663e-05	-22.836
17.7905	8.658	5.776011539999999e-11	6.67575e-06	1.90736e-05	2.00273e-05	78.312
19.3098	8.7585	5.843058105e-11	9.5368e-06	1.04905e-05	1.23978e-05	40.914
21.0841	8.8585	5.909771104999999e-11	-2.00273e-05	5.72208e-06	2.57493e-05	166.608
22.5876	8.9585	5.976484105e-11	-8.58313e-06	-2.00273e-05	1.62126e-05	-101.31
24.1076	9.0585	6.043197105e-11	-1.62126e-05	3.81473e-06	1.33515e-05	105.948
25.5952	9.1585	6.109910105e-11	1.52589e-05	3.24252e-05	3.43325e-05	64.98
27.3534	9.2585	6.176623104999999e-11	1.04905e-05	2.3842e-05	2.57493e-05	58.494
28.8579	9.3585	6.243336105e-11	-2.28883e-05	2.86104e-06	2.57493e-05	168.408
30.3604	9.4585	6.310049105e-11	3.05178e-05	3.52862e-05	4.86376e-05	39.234
31.8486	9.5585	6.376762105e-11	1.90736e-06	5.72208e-06	8.58313e-06	49.764
33.3519	9.6585	6.443475104999999e-11	-4.00546e-05	1.90736e-05	4.48229e-05	162.648
34.8548	9.7585	6.510188105e-11	5.72207e-05	3.33788e-05	6.19893e-05	35.538
36.5978	9.8585	6.576901104999999e-11	-0.000236512	-9.82289e-05	0.000253679	-156.6
38.0848	9.9585	6.643614105e-11	3.14715e-05	2.6703e-05	4.10082e-05	37.452
39.5718	10.0585	6.710327105e-11	-2.28883e-05	-2.6703e-05	3.33788e-05	-128.088
41.0758	10.1585	6.777040105e-11	-1.81199e-05	1.90736e-06	1.33515e-05	164.052
42.8517	10.2585	6.843753104999999e-11	1.33515e-05	-2.86104e-06	2.3842e-05	-1.272
44.3387	10.3585	6.910466104999999e-11	2.57493e-05	1.43052e-05	3.24252e-05	47.172
45.8425	10.4585	6.977179105000001e-11	9.53682e-07	-2.47956e-05	2.57493e-05	-59.742
47.3301	10.5585	7.043892105e-11	-2.76567e-05	1.33515e-05	2.9564e-05	143.88
48.8333	10.6585	7.110605105e-11	9.53682e-07	3.52862e-05	3.52862e-05	88.92
50.3204	10.759	7.177651669999999e-11	-1.81199e-05	-4.19619e-05	4.29156e-05	-100.392
52.0949	10.859	7.24436467e-11	-3.71935e-05	-6.67575e-06	3.24252e-05	-156.162
53.5833	10.959	7.311077669999999e-11	2.3842e-05	-1.62126e-05	2.9564e-05	-27.756
55.0856	11.059	7.377790669999999e-11	-5.3406e-05	-4.7684e-06	5.3406e-05	-169.506
56.5898	11.159	7.44450367e-11	3.81473e-06	5.72208e-06	1.04905e-05	16.392
58.1084	11.259	7.51121667e-11	-4.7684e-06	3.81473e-06	4.7684e-06	168.69
59.5957	11.359	7.57792967e-11	-2.57493e-05	-1.90736e-05	3.05178e-05	-145.62
61.3539	11.459	7.644642669999999e-11	-1.62126e-05	2.6703e-05	2.9564e-05	118.302
62.8427	11.559	7.71135567e-11	3.81473e-06	2.19346e-05	2.19346e-05	80.838
64.3304	11.659	7.77806867e-11	2.47956e-05	-7.62945e-06	3.62399e-05	-6.768
